Date,Open,High,Low,Close,Adj Close,Volume
28/8/2014,3.91,3.94,3.9,3.91,3.013353,11606000
29/8/2014,3.89,3.89,3.87,3.89,2.99794,11875000
1/9/2014,3.89,3.9,3.86,3.87,2.982526,6806000
2/9/2014,3.89,3.94,3.88,3.94,3.036473,10578000
3/9/2014,3.95,3.97,3.92,3.93,3.028767,10645000
4/9/2014,3.94,3.95,3.91,3.93,3.028767,7210000
5/9/2014,3.93,3.94,3.89,3.91,3.013353,8491000
8/9/2014,3.91,3.92,3.89,3.92,3.02106,5213000
9/9/2014,3.9,3.92,3.89,3.9,3.005646,5455000
10/9/2014,3.89,3.92,3.88,3.9,3.005646,11418000
11/9/2014,3.9,3.91,3.88,3.9,3.005646,6026000
12/9/2014,3.91,3.95,3.88,3.9,3.005646,8765000
15/9/2014,3.87,3.88,3.85,3.86,2.974819,9004000
16/9/2014,3.87,3.87,3.75,3.78,2.913165,21987000
17/9/2014,3.81,3.83,3.79,3.8,2.928579,13485000
18/9/2014,3.78,3.79,3.76,3.76,2.897751,16463000
19/9/2014,3.77,3.81,3.77,3.8,2.928579,15810000
22/9/2014,3.83,3.85,3.8,3.8,2.928579,22622000
23/9/2014,3.8,3.84,3.79,3.82,2.943992,17586000
24/9/2014,3.81,3.83,3.77,3.8,2.928579,14118000
25/9/2014,3.83,3.84,3.78,3.78,2.913165,16002000
26/9/2014,3.76,3.8,3.75,3.8,2.928579,10420000
29/9/2014,3.79,3.82,3.77,3.81,2.936285,9758000
30/9/2014,3.78,3.8,3.76,3.8,2.928579,21946000
1/10/2014,3.79,3.79,3.76,3.78,2.913165,8979000
2/10/2014,3.77,3.78,3.75,3.75,2.890044,9458000
3/10/2014,3.75,3.79,3.74,3.77,2.905458,13638000
7/10/2014,3.79,3.79,3.74,3.74,2.882338,15279000
8/10/2014,3.74,3.75,3.72,3.74,2.882338,11883000
9/10/2014,3.76,3.81,3.76,3.8,2.928579,20708000
10/10/2014,3.75,3.76,3.74,3.74,2.882338,11428000
13/10/2014,3.73,3.74,3.69,3.71,2.859217,17115000
14/10/2014,3.7,3.73,3.69,3.71,2.859217,13562000
15/10/2014,3.7,3.72,3.69,3.7,2.851511,9963000
16/10/2014,3.68,3.71,3.63,3.67,2.82839,21310000
17/10/2014,3.68,3.69,3.64,3.65,2.812977,19605733
20/10/2014,3.66,3.7,3.64,3.68,2.836097,27505000
